Case Number,Date,Year,Country,Activity,Sex,Age,Fatal (Y/N),Time,Species
1951.07.19.R,Reported 19-Jul-1951,1951.0,USA,,M,13,N,,
1951.07.11,11-Jul-1951,1951.0,PACIFIC OCEAN,Fell overboard,M,40,N,Afternoon,2.1 m [7'] shark
1951.06.25,25-Jun-1951,1951.0,USA,Fishing,M,,Y,,
1951.06.00,Jun-1951,1951.0,FRENCH POLYNESIA,Fishing,M,39,N,11h00,
1951.05.22,22-May-1951,1951.0,MEXICO,Diving,M,16,N,15h00,
1951.05.09.R,Reported 09-May-1951,1951.0,ITALY,,,,N,,
1951.03.26,26-Mar-1951,1951.0,AUSTRALIA,Surfing,M,23,N,Afternoon,"Wobbegong shark, 4'"
1951.03.24,24-Mar-1951,1951.0,AUSTRALIA,Fishing,M,"""young""",N,,5.5 m [18'] shark
1951.03.15,15-Mar-1951,1951.0,SOUTH AFRICA,Surfing,M,19,N,12h00,
1951.02.19,19-Feb-1951,1951.0,SOUTH AFRICA,Surfing,M,31,N,12h15,136-kg [300-lb] shark
1951.02.03,03-Feb-1951,1951.0,AUSTRALIA,Fishing,M,20,N,,
1951.02.01,01-Feb-1951,1951.0,AUSTRALIA,Swimming,M,14,N,,1.2 m [4'] shark
1951.01.21,21-Jan-1951,1951.0,SOUTH AFRICA,Swimming,M,19,Y,16h25,
1951.01.03,03-Jan-1951,1951.0,AUSTRALIA,,M,,,,Shark involvement prior to death was not confirmed
1951.00.00,1951,1951.0,NEW GUINEA,,,,Y,,
1950.12.31,31-Dec-1950,1950.0,AUSTRALIA,Surfing,M,19,N,,"Nurse shark, 10' "
1950.12.19.R,Reported 19-Dec-1950,1950.0,AUSTRALIA,Swimming,,,N,,"Wobbegong shark, 6'"
1950.12.16,16-Dec-1950,1950.0,AUSTRALIA,Treading water,M,20,Y,16h15,
1950.11.29,29-Nov-1950,1950.0,AUSTRALIA,Diving,M,17,N,,2' shark
1950.11.25,25-Nov-1950,1950.0,AUSTRALIA,Surfing,M,21,N,17h15,"White shark, 3m, seen in area and hooked 3 days later"
1950.11.12,12-Nov-1950,1950.0,AUSTRALIA,Paddling a canoe,M,18,N,,10' shark
1950.10.08,28-Oct-1950,1950.0,USA,Surfing,M,31,N,12h00,White shark
1950.10.04,04-Oct-1950,1950.0,AUSTRALIA,Fishing,M,25,N,Night,4' shark
1950.08.06,06-Aug-1950,1950.0,EL SALVADOR,Fishing,M,27,N,08h30,"1,100-lb shark"
1950.08.00,Aug-1950,1950.0,SAUDI ARABIA,Diving,M,,N,2 hrs before sunset,
1950.07.27.R,Reported 27-Jul-1950,1950.0,AUSTRALIA,Fishing,,,N,,17' white shark
1950.07.21,21-Jul-1950,1950.0,JAPAN,Swimming,M,19,Y,P.M.,
1950.07.19,1950.07.19,1950.0,ITALY,Fishing,,,N,,
1950.07.14,15-Jul-1950,1950.0,CUBA,Swept off deck of S.S.Frontenac enroute from West Indies to US,M,30,N,18h15 to 21h30,
1950.07.10,10-Jul-1950,1950.0,USA,Swimming,M,11,N,,Hammerhead shark
1950.07.09,09-Jul-1950,1950.0,USA,,M,,,,Shark involvement prior to death was not confirmed
1950.07.00,Jul-1950,1950.0,USA,Diving,M,21,N,,0.7 m [2.5'] shark
1950.06.25,25-Jun-1950,1950.0,USA,Swimming,M,16,N,,"""sand shark"""
1950.06.06,06-Jun-1950,1950.0,USA,Survived crash of two-engine  C-46 transport plane carrying 62 migrant workers from Puerto Rico to USA ,M,25,Y,09h00,
1950.05.24,24-May-1950,1950.0,SOUTH AFRICA,Treading water,M,27,N,10h30,
1950.05.01,01-May-1950,1950.0,ITALY,Fishing,M,,N,,"unknown, possibly a white shark"
1950.04.09.b,09-Apr-1950,1950.0,AUSTRALIA,Fishing,M,50,Y,,
1950.04.09.a,09-Apr-1950,1950.0,SOUTH AFRICA,Fishing,M,,N,,2.13 m shark
1950.03.26,26-Mar-1950,1950.0,SOUTH AFRICA,Wading,M,,N,Midday,1.5 m to 1.8 m [5' to 6'] spear-eye shark 
1950.03.08,08-Mar-1950,1950.0,SOUTH AFRICA,Lifesaving drill,M,20,Y,18h50,
1950.03.01,01-Mar-1950,1950.0,AUSTRALIA,Suicide,M,,,,Invalid
1950.02.18.R,Reported 18-Feb-1950,1950.0,AUSTRALIA,Fishing,M,,N,,small carpet shark
1950.02.11,11-Feb-1950,1950.0,SOUTH AFRICA,Surfing,M,14,Y,14h30,"White shark, 3.7 m [12']  according to witnesses"
1950.01.16,16-Jan-1950,1950.0,USA,Fishing,M,,,Night,Shark involvement prior to death was not confirmed
1950.01.12.R,Reported 12-Jan-1950,1950.0,AUSTRALIA,Swimming,M,,N,,
1950.00.00.m,1950,1950.0,AUSTRALIA,Sitting on side of dinghy mending a net,M,,N,,"White shark, 3.6 m,  420 kg male"
1950.00.00.l,1950,1950.0,SRI LANKA,Fishing,M,,N,,Possibly a lemon shark
1950.00.00.k,1950,1950.0,SRI LANKA,Fishing,M,,N,,Whtietip reef shark
1950.00.00.j,1950 - 1951,1950.0,LIBERIA,Defecating in water beneath the docks,M,,Y,,
1950.00.00.i,Summer 1950,1950.0,INDONESIA,Bending over,M,7 or 8,Y,1500,"Tiger shark, 3.7 m to 4.3 m  [12' to 14']"
1950.00.00.h,1950,1950.0,USA,Standing,M,,N,,
1950.00.00.g,1950s,1950.0,USA,Fishing,M,,,,"Alleged to involve a white shark ""with little yellow eyes"""
1950.00.00.f,1950,1950.0,PANAMA,Bathing,M,,N,13h00,2.7 m [9'] shark with black-tipped pectoral fins
1950.00.00.e,Summer 1950,1950.0,GREECE,Swimming,,,Y,,
1950.00.00.d,1950,1950.0,SINGAPORE,Diving,M,,Y,,
1950.00.00.c,1950,1950.0,NEW CALEDONIA,Fishing,M,,N,,
1950.00.00.b,Ca. 1950,1950.0,NEW CALEDONIA,Diving,M,,N,,
1950.00.00.a,Ca. 1950,1950.0,FIJI,,M,,N,,
1949.12.00.b,Dec-1949,1949.0,,Fishing,M,,Y,,Shark involvement not confirmed
1949.12.00.a,Dec-1949,1949.0,AUSTRALIA,Lying on the bottom of a 16' dinghy,M,35,N,,"Grey nurse shark, 2.6 m [8.5']  "
1949.11.20,20-Nov-1949,1949.0,AUSTRALIA,Diving,M,36,N,Afternoon,6' shark
1949.11.12,12-Nov-1949,1949.0,AUSTRALIA,No details,M,,,,Shark involvement prior to death not confirmed
1949.08.28.b,28-Aug-1949,1949.0,AUSTRALIA,Swimming,M,21,N,13h20,
1949.08.28.a,28-Aug-1949,1949.0,AUSTRALIA,Swimming,M,34,Y,13h20,
1949.08.17,17-Aug-1949,1949.0,ITALY,Swimming,M,17,,,2 m shark
1949.08.16,16-Aug-1949,1949.0,AUSTRALIA,Swimming,M,18,N,16h00,
1949.08.10.R,Reported 10-Aug-1949,1949.0,ITALY,Swimming,M,21,N,,
1949.07.29,07-July-1949,1949.0,IRAN,Swimming,M,18,N,,
1949.07.28,28-Jul-1949,1949.0,IRAN,Swimming,M,18,Y,,
1949.07.25,25-Jul-1949,1949.0,USA,Floating,M,16,N,15h00,
1949.07.16,16-Jul-1949,1949.0,USA,Fishing,M,16,N,,"Bonita sharkk, 200-lb"
1949.06.13,13-Jun-1949,1949.0,CHINA,Fishing,M,,Y,,
1949.05.16,16-May-1949,1949.0,AUSTRALIA,Bathing,F,22,N,,"Whaler shark, 2.7 m [9'], 350- to 450-lb  identified by G.P. Whitley"
1949.05.13,13-May-1949,1949.0,AUSTRALIA,"Examining netted shark, that had been shot",M,26,N,,
1949.04.18,18-Apr-1949,1949.0,AUSTRALIA,Fishing,M,,N,,3' shark
1949.04.17,17-Apr-1949,1949.0,AUSTRALIA,Bathing,M,13,Y,13h30,"3.3 m [10'9""] shark"
1949.04.13,13-Apr-1949,1949.0,MEXICO,Bathing,M,,N,,
1949.03.00,Mar-1949 or Apr-1949,1949.0,AUSTRALIA,,,,U,,
1949.01.23,23-Jan-1949,1949.0,AUSTRALIA,Lifesaving exhibition,M,20,Y,15h00,"White shark, 3.6 m [11'9""] "
1949.01.14,14-Jan-1949,1949.0,AUSTRALIA,Surfing,M,32,,Afternoon,Invalid
1949.01.13,13-Jan-1949,1949.0,AUSTRALIA,Surfing,M,,N,,
1949.01.05,05-Jan-1949,1949.0,AUSTRALIA,,,,,,Shark involvement prior to death not confirmed
1949.00.00.g,1949-1950,1949.0,ITALY,Fishing,M,,N,,White shark
1949.00.00.f,1949,1949.0,NEW GUINEA,,,,Y,,
1949.00.00.e,1949,1949.0,PAPUA NEW GUINEA,,M,,N,,
1949.00.00.d,1949,1949.0,PAPUA NEW GUINEA,,M,,N,,
1949.00.00.c,1949,1949.0,PAPUA NEW GUINEA,Fishing,M,18,Y,,
1949.00.00.b,1949,1949.0,PAPUA NEW GUINEA,Swimming,M,,N,,
1949.00.00.a,1949,1949.0,NEW GUINEA,Swimming,M,,Y,,
1948.12.27,27-Dec-1948,1948.0,AUSTRALIA,Swimming,M,17,Y,,His hand was found in a 2.4 m [8'] tiger shark caught 1/5/1949
1948.12.26,26-Dec-1948,1948.0,AUSTRALIA,"Treading water, waiting for a wave",M,28,Y,11h30,
1948.12.14.b,14-Dec-1948,1948.0,IRAN,,M,19,N,,
1948.12.14.a,14-Dec-1948,1948.0,CUBA,Fishing,M,14,N,,
1948.12.10,10-Dec-1948,1948.0,AUSTRALIA,Fishing,M,,N,,
1948.12.05,05-Dec-1948,1948.0,NORTH PACIFIC OCEAN,Air/Sea Disaster involving C-54 Air Force Transport No. 2686 with 37 on board,M,,Y,Dark,
1948.11.18, 18-Nov-1948,1948.0,AUSTRALIA,Diving,M,41,N,,
1948.09.22,22-Sep-1948,1948.0,GREECE,Swimming,M,17,Y,16h00,Said to be 6.4 m [21'] shark
1948.09.19.b,19-Sep-1948,1948.0,USA,Swimming,M,,N,,
1948.09.19.a,19-Sep-1948,1948.0,USA,Fishing,M,,N,,
1948.09.17.R,Reported 17-Sep-1848,1848.0,TURKEY,Swimming,M,,Y,,
1948.09.15,15-Sep-1948,1948.0,MID ATLANTIC OCEAN,Leicester abandoned in a hurricane,M,,Y,,
1948.09.02,02-Sep-1948,1948.0,IRAN,Bathing,F,60,Y,,
1948.08.19,19-Aug-1948,1948.0,IRAN,,M,13,Y,,
1948.08.03,03-Aug-1948,1948.0,IRAN,Swimming,M,15,N,,
1948.08.00,Aug-1948,1948.0,BAHAMAS,Spearing a shark,M,41,N,,"Lemon shark, 4'"
1948.07.01,01-Jul-1948,1948.0,USA,Swimming,M,46,Y,,
1948.06.06.R,Reported 06-Jun-1948,1948.0,NORTHERN MARIANA ISLANDS,Swimming,M,,N,,
1948.05.10,10-May-1948,1948.0,IRAN,Fishing,M,38,N,,
1948.04.10,10-Apr-1948,1948.0,SOUTH AFRICA,Fishing,M,,N,,
1948.03.13.R,"Reported 13-Mar-1948 ""Bitten last weekend",1948.0,KENYA,,M,,Y,,
1948.03.11,11-Mar-1948,1948.0,SENEGAL,,,,,,Shark involvement prior to death not confirmed
1948.03.00,Mar-1948,1948.0,PAPUA NEW GUINEA,Fishing,M,30,N,,"""grey shark"""
1948.02.13,13-Feb-1948,1948.0,USA,"C47 aircraft carrying 5,000 lbs of ice ditched in the sea",M,,Y,,
1948.02.12,12-Feb-1948,1948.0,AUSTRALIA,Swimming,M,16,Y,,3.7 m [12'] shark
1948.01.25,25-Jan-1948,1948.0,AUSTRALIA,Surfing,M,,N,,6' shark
1948.00.00.d,Summer 1948,1948.0,USA,Underwater photography,M,48,N,Afternoon,Nurse shark
1948.00.00.c,1948,1948.0,NEW GUINEA,Fishing,M,,N,,
1948.00.00.b,1948,1948.0,PAPUA NEW GUINEA,Fishing,M,,N,,
1948.00.00.a,1948,1948.0,SOUTH AFRICA,Fishing,,,N,,
1947.12.21,21-Dec-1947,1947.0,AUSTRALIA,Fishing,M,9,N,P.M.,Grey nurse shark
1947.12.15.R,Reported 15-Dec-1947,1947.0,SOUTH AFRICA,,,,,,Shark involvement prior to death not confirmed
1947.12.00,Dec-1947,1947.0,SENEGAL,Fishing,M,,Y,11h00,Tiger shark
1947.11.23,23-Nov-1947,1947.0,AUSTRALIA,Fishing,,,N,,5.5 m [18'] shark
1947.11.14.b,14-Nov-1947,1947.0,AUSTRALIA,Fishing,M,17,N,Dusk,
1947.11.14.a,14-Nov-1947,1947.0,AUSTRALIA,Fishing,M,16,N,Dusk,
1947.11.08.b,08-Nov-1947,1947.0,AUSTRALIA,Swimming,M,12,Y,16h00,
1947.11.08.a,08-Nov-1947,1947.0,AUSTRALIA,Swimming,M,13,N,16h00,
1947.11.00,Nov-1947,1947.0,AUSTRALIA,,M,78,Y,,
1947.10.28,28-Oct-1947,1947.0,AUSTRALIA,Fishing,M,,N,,
1947.10.10,10-Oct-1947,1947.0,BRAZIL,Swimming,M,25,Y,,
1947.08.04,04-Aug-1947,1947.0,USA,Swimming,M,20,Y,A.M.,Possibly C. leucas
1947.07.27.R,Reported 27-Jul-1947,1947.0,USA,Fishing,M,46,N,,a small shark
1947.07.24.R,Reported 24-Jul-1947,1947.0,AUSTRALIA,Diving,M,,N,,"Most likely, a small shark"
1947.07.15,15-Jul-1947,1947.0,SOUTH AFRICA,Swimming,M,20,N,Morning,
1947.07.00,Jul-1947,1947.0,GREECE,Jumped overboard ,M,,,,Questionable
1947.06.27,27-Jun-1947,1947.0,USA,Fishing,M,35,N,10h30,
1947.06.16,16-Jun-1947,1947.0,AUSTRALIA,Fishing,,,N,,"Tiger shark, 14' "
1947.05.13.R,Reported 13-May-1947,1947.0,KENYA,Swimming,M,,N,,
1947.04.20,20-Apr-1947,1947.0,SOUTH AFRICA,Treading water,M,21,N,12h00,"1.5 m, 45-kg shark"
1947.04.11,11-Apr-1947,1947.0,SOUTH AFRICA,Surfing,M,14,N,17h30,
1947.04.06,06-Apr-1947,1947.0,AUSTRALIA,Surfing,M,17,N,,
1947.04.00,Apr-1947,1947.0,PACIFIC OCEAN,Fishing,M,29,N,11h00,
1947.03.12,12-Mar-1947,1947.0,SOUTH AFRICA,Wading,M,18,N,16h10,
1947.03.09,09-Mar-1947,1947.0,SOUTH AFRICA,Treading water,M,22,N,12h00,"Blacktip shark, 2 m [6.75'] "
1947.02.23,23-Feb-1947,1947.0,AUSTRALIA,Fishing,,,N,,
1947.02.06.R,Reported 06-Feb-1947,1947.0,BAHAMAS,Attempting to ride a shark,M,,N,,5' shark
1947.02.00,Feb-1947,1947.0,BRAZIL,Bathing,,,Y,,
1947.01.14,14-Jan-1947,1947.0,AUSTRALIA,Rowing,,17 & 16,N,,"4.5  m [14'9""] shark"
1947.01.05,05-Jan-1947,1947.0,SOUTH AFRICA,Treading water,M,18,N,15h50,>1.6 m shark
1946.12.28,28-Dec-1946,1946.0,AUSTRALIA,Swimming,M,23,N,,
1946.12.24.R,Reported 24-Dec-1946,1946.0,AUSTRALIA,,,,N,,7' shark
1946.11.20,20-Nov-1946,1946.0,AUSTRALIA,Diving,M,30,Y,,
1946.10.26.R,Reported 26-Oct-1946,1946.0,MARSHALL ISLANDS,Fishing,M,,Y,,
1946.10.14,14-Oct-1946,1946.0,AUSTRALIA,Swimming,M,15,N,,
1946.08.24,24-Aug-1946,1946.0,ISRAEL,Fishing,M,15,N,,
1946.08.18,18-Aug-1946,1946.0,AUSTRALIA,Swimming,M,30,Y,15h20,4.3 m [14'] shark
1946.07.18.b,18-Jul-1946,1946.0,IRAN,Fishing,M,12,N,,
1946.07.18.a,18-Jul-1946,1946.0,IRAN,Swimming,M,12,N,,Possibly C. leucas
1946.06.28,28-Jun-1946,1946.0,INDIA,Bathing,M,14,N,,
1946.05.09,09-May-1946,1946.0,TANZANIA,Swimming,M,,N,,
1946.04.19,19-Apr-1946,1946.0,AUSTRALIA,Swimming,M,17,Y,13h30,
1946.04.00,Apr-1946,1946.0,AUSTRALIA,Fishing,,,N,,6 m [20']  shark
1946.03.20,20-Mar-1946,1946.0,AUSTRALIA,Fishing,M,28,N,19h00,
1946.02.16,16-Feb-1946,1946.0,SOUTH AFRICA,Treading water,M,21,N,16h00,
1946.02.10.b,10-Feb-1946,1946.0,AUSTRALIA,Standing,M,18,N,12h15,"White shark, 4.2 m [13'9""] "
1946.02.10.a,10-Feb-1946,1946.0,SOUTH AFRICA,Swimming,M,18,N,09h15,
1946.01.24.b,24-Jan-1946,1946.0,SOUTH AFRICA,Treading water,M,15,N,17h15,
1946.01.24.a,24-Jan-1946,1946.0,SOUTH AFRICA,Swimming,M,,N,Afternoon,
1946.01.17,17-Jan-1946,1946.0,AUSTRALIA,,M,12,N,,small shark
1946.01.07,07-Jan-1946,1946.0,SOUTH AFRICA,Jumping in swells,M,18,N,12h00,1.5 m [5'] shark
1946.01.05,05-Jan-1946,1946.0,AUSTRALIA,Swimming,F,14,Y,,
1946.01.01,01-Jan-1946,1946.0,SOUTH AFRICA,Surfing,M,24,N,A.M.,
1946.00.00.c,1946,1946.0,SOUTH AFRICA,,,,N,,
1946.00.00.b,1946,1946.0,SOUTH AFRICA,,,,N,,
1946.00.00.a,1946,1946.0,PERSIAN GULF,Fishing,F,,N,,
1945.09.23,23-Sep-1945,1945.0,HONG KONG,Bathing,M,,Y,"""shortly before dusk""",
1945.09.19,19-Sep-1945,1945.0,OKINAWA,Swimming,M,20,N,,
1945.09.16,16-Sep-1945,1945.0,JAPAN,Swimming,M,,Y,,
1945.09.06,06-Sep-1945,1945.0,IRAN,Swimming,M,13,N,,
1945.08.19,19-Aug-1945,1945.0,IRAN / IRAQ,,M,,N,,
1945.08.06,06-Aug-1945,1945.0,USA,,,,Y,,
1945.07.30,30-Jul-1945,1945.0,PHILIPPINES,American cruiser Indianapolis torpedoed & sunk by the Japanese submarine I-58,,,Y,,
1945.07.00,Jul-1945,1945.0,JAVA,"90 European civilians, many women & children, were placed on the deck of a Japanese submarine that submerged when it was well offshore",,,Y,Dusk,
1945.06.15,15-Jun-1945,1945.0,AUSTRALIA,Swimming,M,,Y,16h00,
1945.05.08,08-May-1945,1945.0,USA,Swimming,M,,Y,,
1945.03.06,06-Mar-1945,1945.0,SOUTH AFRICA,Walking,M,37,N,16h30,Thought to involve a Zambesi shark
1945.02.05,05-Feb-1945,1945.0,ISRAEL,Swimming,M,,N,,
1945.00.00.d,1945,1945.0,JAMAICA,Diving,M,,N,,
1945.00.00.c,1945,1945.0,CUBA,"Playing on rock, slipped & fell into the water",M,,Y,,
1945.00.00.b,1945,1945.0,PANAMA,Bathing,F,8 or 10,N,,
1945.00.00.a,1945,1945.0,IRAQ,Swimming,M,15,N,12h00,Bull shark
1944.12.18,Between 18 & 22-Dec 1944,1944.0,PHILIPPINES,Swimming,M,19,N,,9' shark
1944.12.02,02-Dec-1944,1944.0,USA,Fishing,,,N,,"Tiger shark, 4.5 to 5.5 m [14'9"" to 18'], 2000-lb  "
1944.11.08,08-Nov-1944,1944.0,SIERRA LEONE,,M,18,Y,,
1944.11.01,01-Nov-1944,1944.0,AUSTRALIA,Swimming,M,,,,
1944.10.26.b,26-Oct-1944,1944.0,PHILIPPINES,"USS Gambier Bay CVE-73  shelled & sunk  at 09h57 on 10/24/1944, by Japanes fleet enroute to attack the Allied landing force at Leyte.",M,,Y,,
1944.10.26.a,26-Oct-1944,1944.0, PHILIPPINES,Swimming,M,,Y,,
1944.10.25.b,25-Oct-1944,1944.0,PHILIPPINES,Swimming,M,,Y,,
1944.10.25.a,25-Oct-1944,1944.0,PHILIPPINES,Parachuted into Pacific,M,,N,,
1944.10.24,24-Oct-1944,1944.0,,Fishing,M,,Y,>17h30,
1944.10.23.R,Reported 23-Oct-1944,1944.0,AUSTRALIA,Fishing,,,N,,
1944.09.03,03-Sep-1944,1944.0,USA,Swimming,M,13,N,,
1944.09.00,Sep-1944,1944.0,CARIBBEAN SEA,Fishing,M,,Y,,
1944.08.20,20-Aug-1944,1944.0,SOUTH AFRICA,Swimming,M,19,Y,14h00,
1944.07.22,22-Jul-144,1944.0,SOUTH AFRICA,Swimming,M,17,Y,16h30,"White shark, according to witnesses"
1944.06.23,23-Jun-1944,1944.0,NORTH PACIFIC OCEAN,,M,,,,Invalid
1944.05.31,31-May-1944,1944.0,USA,Bathing,F,15,N,,1.8 m [6'] blacktip shark or spinner shark
1944.05.24.R,Reported 24-May-1944,1944.0,SAMOA,,,,N,,5' shark
1944.05.04,04-May-1944,1944.0,PANAMA,Washed overboard by swell,M,,Y,,"White shark, 2.4 m [8'] "
1944.04.00,Apr-1944,1944.0,NICARAGUA,,,,Y,,Bull sharks to 1.5 m [5']  in length
1944.03.26.b,26-Mar-1944,1944.0,SOUTH AFRICA,Treading water,M,18,N,17h30,
1944.03.26.a,26-Mar-1944,1944.0,SOUTH AFRICA,Standing,M,23,Y,10h00,
1944.03.14,14-Mar-1944,1944.0,SOUTH AFRICA,Treading water,M,16,N,17h30,
1944.02.27,27-Feb-1944,1944.0,SOUTH AFRICA,Treading water,M,,N,>14h30,2.1 m [7'] shark
1944.02.18,18-Feb-1944,1944.0,INDIA,Bathing,M,12,Y,,
1944.01.20,20-Jan-1944,1944.0,SOUTH AFRICA,Surfing,M,22,Y,13h15,
1944.01.16,16-Jan-1944,1944.0,AUSTRALIA,Fishing,M,,N,,14' shark
1944.01.14,14-Jan-1944,1944.0,AUSTRALIA,Surfing,M,14,N,17h00,
1944.01.04,04-Jan-1944,1944.0,SOUTH AFRICA,Swimming,M,26,Y,17h50,
1944.00.00.c,Some time between Apr & Nov-1944,1944.0,SOUTH PACIFIC OCEAN,Adrift on raft,M,,Y,,
1944.00.00.b,1944,1944.0,ITALY,B-24 aircraft crashed  into the sea,M,,Y,,
1944.00.00.a,1944,1944.0,NEW GUINEA,Warding,M,,Y,,
1943.12.12,12-Dec-1943,1943.0,SOUTH AFRICA,Treading water,M,17,Y,11h30,
1943.12.04,04-Dec-1943,1943.0,USA,The Cuban freighter Libertad was torpedoed and sunk by the German submarine U-129,M,,Y,,
1943.11.21,21-Nov-1943,1943.0,SOUTH AFRICA,Swimming,M,,N,,
1943.11.11,11-Nov-1943,1943.0,PACIFIC OCEAN,The 6711-ton American freighter & troop transport Cape San Juan was torpedoed by the Japanese submarine I-21,M,,Y,,
1943.10.26,26-Oct-1943,1943.0,USA,,M,,,,Shark involvement prior to death unconfirmed
1943.09.23,23-Sep-1943,1943.0,PANAMA,Diving,M,20,Y,14h35,"White shark, 2 m [6'9""]  (Tooth fragment recovered from victim's shoulder & identified by J.T. Nicholls)"
1943.08.00,Aug-1943,1943.0,ITALY,Surfing,M,,N,,
1943.07.18,18-Jul-1943,1943.0,USA,Fishing,M,,Y,,
1943.07.00.b,Jul-1943,1943.0,PORTUGAL,Fishing,,,N,,
1943.07.00.a,Jul-1943,1943.0,MEXICO,Swimming,M,68,,Between 11h00 & 12h00,Invalid
1943.06.16,16-Jun-1943,1943.0,AUSTRALIA,Fishing,M,18,N,,"White shark, 3.9 m, 550 kg, male"
1943.05.27,27-May-1943,1943.0,PACIFIC OCEAN,B-24 crashed during a search mission. Survivors in raft for 47 days ,M,,,,Invalid
1943.05.17.b,17-May-1943,1943.0,CENTRAL PACIFIC,"S2N Navy scout plane went down, E.H. Almond & Lieut A.G. Reading in water",M,26,N,,
1943.05.17.a,17-May-1943,1943.0,CENTRAL PACIFIC,"S2N Navy scout plane went down, E.H. Almond & Lieut A.G. Reading in water",M,,Y,,
1943.05.14,14-May-1943,1943.0,AUSTRALIA,Fishing,M,F,Y,After 04h00,
1943.05.01.R,Reported 01-May-1943,1943.0,INDIAN OCEAN,Fishing,M,,N,,Blue shark
1943.04.05,5-Apr-1943,1943.0,USA,Swimming,M,,,,Shark involvement prior to death unconfirmed
1943.03.21,21-Mar-1943,1943.0,SOUTH AFRICA,Swimming,M,31,Y,16h10,
1943.03.14,14-Mar-1943,1943.0,SIERRA LEONE,Fishing,,,Y,,
1943.03.02.b,02-Mar-1943,1943.0,BRAZIL,The 3540-ton Alfonso Penna was torpedoed & sunk by the Italian submarine Barbarigo,,,Y,19h00,
1943.03.02.a,02-Mar-1943 to 07-Mar-1943,1943.0,PAPUA NEW GUINEA,"Known as The Battle of the Bismarck Sea :  8 Japanese destroyers guarding a convoy of 8 transports were attacked by 129 Allied fighters, 207 bombers & 3 squadrons of the Royal Australian Air Force. ",,,Y,,
1943.01.26,26-Jan-1943,1943.0,PACIFIC OCEAN,The USS Wahoo torpedoes & sank the Japanese troop transport Buyo Maru,M,,Y,,
1943.00.00.f,Summer 1943,1943.0,MEXICO,Swimming,,,Y,,
1943.00.00.e,1943,1943.0,SOLOMON ISLANDS,Swimming,M,,N,,
1943.00.00.d,1943,1943.0,IRAQ,Swimming,M,22,N,,
1943.00.00.c,Fall 1943,1943.0,USA,Fishing,M,,N,,"""small sharks"""
1943.00.00.b,Fall 1943,1943.0,USA,Fishing,M,,N,,"""small sharks"""
1943.00.00.a,1943,1943.0,USA,,M,,U,,
1942.12.26,26-Dec-1942,1942.0,AUSTRALIA,Standing,F,15,Y,10h50,Bull shark
1942.11.28,28-Nov-1942,1942.0,SOUTH AFRICA,Fishing,M,,Y,09h30,"1.8 m to 2.4 m [6' to 8'] sharks, most were oceanic whitetip sharks"
1942.11.25,25-Nov-1942,1942.0,SOUTH AFRICA,Swimming,M,38,N,,
1942.11.16,16-Nov-1942,1942.0,SOLOMON ISLANDS,Thrown from destroyer when shell hit,M,19,N,,
1942.11.21,21-Nov-1942,1942.0,INDIAN OCEAN,Fishing,M,,Y,,
1942.11.13.c,13-Nov-1942,1942.0,SOLOMON ISLANDS,Swimming,M,,N,,
1942.11.13.b,13-Nov-1942,1942.0,SOLOMON ISLANDS / VANUATU,Explosion & sinking of the USS Juneau after being torpedoed by the submarine  I-85,M,,Y,11h01 -time of ship sinking,
1942.11.13.a,12-Nov-1942,1942.0,SOLOMON ISLANDS,,M,,Y,,
1942.11.01,01-Nov-1942,1942.0,SOUTH AFRICA,Swimming,M,18,Y,12h30,"White shark, 4.5 m  to 6 m [14'9"" to 20'] according to witnesses"
1942.11.00.b,Nov-1942,1942.0,PACIFIC OCEAN,In rubber dinghy with Captain Eddie Rickenbacker for 21 days. ,M,,N,,
1942.11.00.a,Nov-1942,1942.0,,Fishing,M,,Y,,
1942.10.12,12-Oct-1942,1942.0,SOLOMON ISLANDS,Fishing,M,25,N,,
1942.09.30,30-Sep-1942,1942.0,ATLANTIC OCEAN,Fishing,,,N,,
1942.09.12.b,12-Sep-1942,1942.0,ATLANTIC OCEAN,Swimming,M,,N,,
1942.09.12.a,12-Sep-1942,1942.0,AUSTRALIA,Treading water,M,24,N,16h30,"Tiger shark, 2.4 m to 3 m [8' to 10'] "
1942.09.11,11-Sep-1942 to 16-Sep-1942,1942.0,SOUTHWEST PACIFIC OCEAN,Adrift on life raft,M,,Y,,Tiger shark & others
1942.08.08,8-Aug-1942,1942.0,SOLOMON ISLANDS,Japanese aircraft shot down. He was one of two survivors rescued by the U.S. destroyer Mugford,M,,N,,
1942.07.12,12-Jul-1942,1942.0,ATLANTIC OCEAN,The SS Potlach was torpedoed & sunk by the U-153 on 27-Jun-1942. ,M,32,Y,,
1942.07.06,06-Jul-1942,1942.0,ITALY,Sculling,M,20,N,,Porbeagle shark
1942.06.11.R,Reported 11-Jun-1942,1942.0,BAY OF BENGAL,A 210-ton brig was sunk by a Japanese submarine. Some of the survivors were machine-gunned & some were taken by sharks,M,,Y,,
1942.06.08.R,Reported 08-Jun-1942,1942.0,BRAZIL,Fishing,M,,,,Shark involvement prior to death unconfirmed
1942.06.04,04-Jun-1942,1942.0,USA,"Plane crashed in water, men in life raft",M,,N,,
1942.06.00,Jun-1942,1942.0,,Fishing,M,,N,,
1942.05.09,09-May-1942,1942.0,AUSTRALIA,Diving,M,,N,,
