Case Number,Date,Year,Country,Activity,Sex,Age,Fatal (Y/N),Time,Species
2017.06.10.b,10-Jun-2017,2017.0,AUSTRALIA,Surfing,F,,N,15h45,Seven-gill shark
2017.06.10.a,10-Jun-2017,2017.0,USA,Surfing,M,19,N,10h00,
2017.06.07.R,Reported 07-Jun-2017,2017.0,UNITED KINGDOM,Surfing,M,30,N,,"3m shark, probably a smooth hound"
2017.06.04,04-Jun-2017,2017.0,USA,Fishing,M,,N,,8' shark
2017.06.02,02-Jun-2017,2017.0,BAHAMAS,Diving,F,32,N,Shortly before 12h00,Tiger shark
2017.05.30,30-May-2017,2017.0,USA,Touching a shark,F,20,N,,3' shark
2017.05.28,28-May-2017,2017.0,USA,Feeding sharks,M,,N,Morning,Tiger shark
2017.05.27,27-May-2017,2017.0,AUSTRALIA,Fishing,M,73,N,,
2017.05.12,12-May-2017,2017.0,UNITED ARAB EMIRATES,Fishing,M,41,N,Morning,
2017.05.06.R,Reported 06-May-2017,2017.0,AUSTRALIA,Attempting to lasso a shark,M,29,N,,9' shark
2017.05.06,05-May-2017,2017.0,MEXICO,Diving,M,33,Y,17h00,
2017.05.03,03-May-2017,2017.0,USA,Surfing,F,18,,14h30,Shark involvement highly doubtful
2017.04.29.d,29-Apr-2017,2017.0,USA,Swimming,F,,N,17h34,
2017.04.29.c,29-Apr-2017,2017.0,SOUTH AFRICA,Surfing,M,14,N,17h10,
2017.04.29.b,29-Apr-2017,2017.0,USA,Surfing,F,33,N,11h00,
2017.04.29.a,29-Apr-2017,2017.0,REUNION,Body boarding,M,28,Y,11h15,
2017.04.27,27-Apr-2017,2017.0,NEW ZEALAND,Body boarding,F,20s,N,14h00,
2017.04.26,26-Apr-2017,2017.0,USA,Photo shoot,F,,,,No shark invovlement - it ws a publicity stunt
2017.04.22,22-Apr-2017,2017.0,"ST HELENA, British overseas territory",Diving,F,40,N,16h00,
2017.04.20,20-Apr-2017,2017.0,USA,Swimming,M,,,08h50,Shark involvement not confirmed
2017.04.17.b,17-Apr-2017,2017.0,USA,,,,N,Afternoon,
2017.04.17.a,17-Apr-2017,2017.0,AUSTRALIA,Surfing,F,17,Y,16h00,White shark
2017.04.14,14-Apr-2017,2017.0,USA,Surfing,M,28,N,09h00,"Tiger shark, 12'"
2017.04.13,13-Apr-2017,2017.0,USA,Surfing,M,17,N,13h30,
2017.04.12.b,12-Apr-2017,2017.0,USA,Surfing,F,,N,13h45,
2017.04.12.a,12-Apr-2017,2017.0,SOUTH AFRICA,Diving,M,68,,,Shark involvement prior to death not confirmed
2017.04.11,11-Apr-2017,2017.0,USA,Surfing,F,35,N,16h00,
2017.04.10.b,10-Apr-2017,2017.0,USA,Paddle boarding,F,10,N,17h45,
2017.04.10.a,10-Apr-2017,2017.0,USA,Swimming,F,21,N,17h00,
2017.04.06,06-Apr-2017,2017.0,USA,Swimming,M,16,N,,
2017.04.05,05-Apr-2017,2017.0,USA,Swimming,F,51,N,13h00,
2017.04.02.b,02-Apr-2017,2017.0,AUSTRALIA,Kakaying,M,39,N,Afternoon,
2017.04.02.a,02-Apr-2017,2017.0,USA,Swimming,F,17,N,15h00,"Bull shark, 5' to 7'"
2017.03.27,27-Mar-2017,2017.0,USA,Surfing,M,58,N,10h00,
2017.03.19,19-Mar-2017,2017.0,AUSTRALIA,Body boarding,M,30,N,18h30,
2017.03.18,18-Mar-2017,2017.0,USA,Kayaking,M,,N,14h30,White shark
2017.03.11,11-Mar-2017,2017.0,PHILIPPINES,Fishing,M,25,N,,10' shark
2017.03.09,Reported 09-Mar-2017,2017.0,BAHAMAS,Washing hands,M,58,N,,Lemon shark
2017.02.25,25-Feb-2017,2017.0,AUSTRALIA,Diving,F,,N,Morning,"Bull shark, 1.5"
2017.02.24,24-Feb-2017,2017.0,AUSTRALIA,Surfing,M,,N,Morning,
2017.02.21,21-Feb-2017,2017.0,REUNION,Body boarding,M,26,Y,09h30,
2017.02.17,17-Feb-2017,2017.0,AUSTRALIA,Fishing,M,26,N,10h20,
2017.02.11,11-Feb-2017,2017.0,USA,Swimming,M,22,N,13h30,
2017.02.06.b,06-Feb-2017,2017.0,BRAZIL,Grabbing shark for a selfie,F,,N,Afternoon,Lemon shark pup
2017.02.06.a,06-Feb-2017,2017.0,SOUTH AFRICA,Fishing,M,,N,,Tiger shark
2017.02.01.b,01-Feb-2017,2017.0,USA,Tagging sharks,,,N,,"White shark, female, 14'"
2017.02.01.a,01-Feb-2017,2017.0,BAHAMAS,Diving,M,37,N,,Caribbean reef shark
2017.01.24,24-Jan-2017,2017.0,BRAZIL,Swimming,M,21,N,13h20,
2017.01.22,22-Jan-2017,2017.0,USA,,M,Teen,N,14h00,
2017.01.21,21-Jan-2017,2017.0,AUSTRALIA,Diving,M,55,N,12h00,"Bull shark, 4 m"
2017.01.13.b,13-Jan-2017,2017.0,AUSTRALIA,Swimming,M,57,N,13h30,
2017.01.13.a,13-Jan-2017,2017.0,USA,,M,,N,Morning,
2017.01.09,09-Jan-2017,2017.0,INDONESIA,Surfing,M,48,N,07h30,"Bull shark, 1 m"
2017.01.08.R,Reported 08-Jan-2017,,AUSTRALIA,Fishing,M,35,,,Bull shark
2017.01.05,05-Jan-2017,2017.0,USA,Wading,M,47,N,12h30,
2017.01.03,03-Jan-2017,2017.0,AUSTRALIA,Wading,M,20,,18h00,Shark involvement not confirmed
2016.12.27,27-Dec-2016,2016.0,USA,Surfing,M,16,N,17h00,
2016.12.24,24-Dec-2016,2016.0,AUSTRALIA,Diving,F,,N,Morning,a small shark
2016.12.19,19-Dec-2016,2016.0,SOUTH AFRICA,Surfing,M,55,N,07h00,"White shark, 4 m"
2016.12.14,14-Dec-2016,2016.0,AUSTRALIA,Diving,M,61,N,09h30,
2016.12.11.b,11-Dec-2016,2016.0,FRENCH POLYNESIA,Fishing,M,40s,N,,
2016.12.11.a,11-Dec-2016,2016.0,USA,Surfing,M,19,,Afternoon,Shark involvement not confirmed
2016.12.06,06-Dec-2016,2016.0,AUSTRALIA,Fishing,M,20,N,02h00,"Wobbegong shark, 2m"
2016.12.01,01-Dec-2016,2016.0,AUSTRALIA,Surfing,M,65,N,09h00,White shark
2016.11.28,28-Nov-2016,2016.0,AUSTRALIA,Fishing,M,73,N,11h00,"Broadnose sevengill shark, 1.5 m"
2016.11.14,14-Nov-2016,2016.0,USA,Floating,F,58,N,10h30,Tiger shark
2016.10.30,30-Oct-2016,2016.0,USA,Surfing,M,41,N,Afternoon,
2016.10.29,29-Oct-2016,2016.0,USA,Surfing,M,42,N,Afternoon,
2016.10.24,24-Oct-2016,2016.0,AUSTRALIA,Surfing,M,36,N,07h30,
2016.10.21,21-Oct-2016,2016.0,USA,Surfing,M,36,N,17h00, 6' to 8' shark
2016.10.15,15-Oct-2016,2016.0,AUSTRALIA,Surfing,M,,N,18h00,
2016.10.14,14-Oct-2016,2016.0,USA,Diving,F,66,N,09h50,
2016.10.13.R,13-Oct-2016,2016.0,MEXICO,Diving,M,,,,White shark
2016.10.12,12-Oct-2016,2016.0,AUSTRALIA,Surfing,M,25,N,10h30,
2016.10.10,10-Oct-2016,2016.0,USA,Surfing,M,29,N,16h00,
2016.10.02,02-Oct-2016,2016.0,USA,Surfing,M,21,N,11h30,
2016.10.01,01-Oct-2016,2016.0,USA,Surfing,M,32,N,17h30,
2016.09.26,26-Sep-2016,2016.0,AUSTRALIA,Surfing,M,17,N,9h00,"White shark, 3.5 m"
2016.09.18.c,18-Sep-2016,2016.0,USA,Surfing,M,16,N,13h00,
2016.09.18.b,18-Sep-2016,2016.0,USA,Surfing,M,36,N,11h00,
2016.09.18.a,18-Sep-2016,2016.0,USA,Surfing,M,43,N,10h43,
2016.09.17.b,17-Sep-2016,2016.0,USA,Surfing,M,43,N,After noon,
2016.09.17.a,17-Sep-2016,2016.0,AUSTRALIA,Surfing,M,,N,,
2016.09.15,16-Sep-2016,2016.0,AUSTRALIA,Surfing,M,,N,,2 m shark
2016.09.15.R,15-Sep-2016,2016.0,AUSTRALIA,Fishing,,,N,,
2016.09.11,11-Sep-2016,2016.0,USA,Wading,M,60,N,15h15,3' to 4' shark
2016.09.07,07-Sep-2016,2016.0,USA,Swimming,F,51,N,14h30,"Tiger shark, 10'"
2016.09.06,06-Sep-2016,2016.0,NEW CALEDONIA,Surfing,M,50,Y,15h40,
2016.09.05.b,05-Sep-2016,2016.0,USA,Boogie boarding,F,12,N,Late afternoon,
2016.09.05.a,05-Sep-2016,2016.0,AUSTRALIA,Surfing,M,,N,Late afternoon,
2016.09.04,04-Sep-2016,2016.0,USA,Body boarding,M,9,N,,
2016.09.01,01-Sep-2016,2016.0,USA,Fishing,M,22,N,,"White shark, 8' to 10'"
2016.09.00,Sep-2016,2016.0,MEXICO,Diving,,,,,Invalid
2016.08.29.b,29-Aug-2016,2016.0,USA,Surfing,M,25,N,15h00,"Bull shark, 6'"
2016.08.29.a,29-Aug-2016,2016.0,USA,Surfing,M,37,N,14h00,
2016.08.27,27-Aug-2016,2016.0,REUNION,Surfing,M,20,N,17h00,"Bull shark, 3.5 m"
2016.08.25,25-Aug-2016,2016.0,USA,Wading,M,49,N,16h00,
2016.08.07,07-Aug-2016,2016.0,BAHAMAS,Diving,M,15,N,,
2016.08.06,06-Aug-2016,2016.0,USA,SUP Foil boarding,M,21,N,16h30,"Tiger shark, 10' "
2016.08.04,04-Aug-2016,2016.0,USA,Surfing,M,22,N,,Blacktip shark
2016.07.29,29-Jul-2016,2016.0,SPAIN,Swimming,M,40,N,11h30,Blue shark
2016.07.28.R,28-Jul-2016,2016.0,CHINA,Swimming,M,72,N,,
2016.07.28,28-Jul-2016,2016.0,AUSTRALIA,Kayaking,M,,N,,White shark
2016.07.27,27-Jul-2016,2016.0,USA,Lobstering,M,43,N,,"Nurse shark, 4'"
2016.07.26,26-Jul-2016,2016.0,AUSTRALIA,Surfing,M,18,N,12h00,
2016.07.24,24-Jul-2016,2016.0,JAPAN,Surfing,M,29,N,19h05,
2016.07.23.b,23-Jul-2016,2016.0,AUSTRALIA,Surfing,M,36,N,,
2016.07.23.a,23-Jul-2016,2016.0,BAHAMAS,Fishing,M,,N,,"Bull shark, 6'"
2016.07.20,20-Jul-2016,2016.0,AUSTRALIA,Fishing,M,31,N,After noon,"reef shark, 1m"
2016.07.17,17-Jul-2016,2016.0,USA,Fishing,,,N,,"Tiger shark, 10' "
2016.07.16.b,16-Jul-2016,2016.0,USA,Surfing,F,9,N,1300,
2016.07.16.a,16-Jul-2016,2016.0,USA,,F,11,N,11h00,
2016.07.15.b,15-Jul-2016,2016.0,USA,Surfing,M,61,N,17h00,"White shark, 10' to 12'"
2016.07.15.a,15-Jul-2016,2016.0,USA,Swimming,M,,N,,
2016.07.14.R,Reported  14-Jul-2016,2016.0,BAHAMAS,Diving,M,,N,,"Lemon shark, 9'"
2016.07.08.R,Reported 08-Jul-2016,2016.0,SPAIN,Wading,F,10,N,,Angel shark
2016.07.08,08-Jul-2016,2016.0,USA,Fishing,M,,N,,White shark
2016.07.07.b,07-Jul-2016,2016.0,USA,Fishing,M,59,N,10h00,dogfish shark
2016.07.07.a,07-Jul-2016,2016.0,USA,Fishing,M,,N,,White shark
2016.07.06,06-Jul-2016,2016.0,USA,Swimming,F,42,N,14h30 / 15h30,
2016.07.04,04-Jul-2016,2016.0,AUSTRALIA,Fishing,M,34,N,22h00,Tawny nurse shark
2016.06.27,27-Jun-2016,2016.0,USA,,M,35,N,16h20,3' to 4' shark
2016.06.25,25-Jun-2016,2016.0,USA,Surfing,M,11,N,14h34,
2016.06.24,24-Jun-2016,2016.0,COLUMBIA,Diving,M,59,N,11h00,"Caribbean reef shark, 4.5'"
2016.06.23,23-Jun-2016,2016.0,SOUTH AFRICA,Fishing,M,43,N,,White shark
2016.06.21.b,21-Jun-2016,2016.0,USA,Floating,M,42,N,15h25,3' to 5' shark
2016.06.21.a,21-Jun-2016,2016.0,USA,Wading,M,,N,14h55,
2016.06.15.b,15-Jun-2016,2016.0,USA,Surfing,M,,N,06h00,3' to 4' shark
2016.06.15.a,15-Jun-2016,2016.0,AUSTRALIA,Fishing,M,19,N,,5' shark
2016.06.14,14-Jun-2016,2016.0,USA,Floating,F,6,N,17h30,3' to 4' shark
2016.06.11,11-Jun-2016,2016.0,USA,Standing,M,19,N,15h00,3' shark
2016.06.07,07-Jun-2016,2016.0,USA,Surfing,M,27,,11h30,Said to involve an 8' shark but more likely damage caused by debris
2016.06.05.b,05-Jun-2016,2016.0,USA,Swimming,M,64,N,08h30,
2016.06.05.a,05-Jun-2016,2016.0,AUSTRALIA,Diving,F,60,Y,11h30,3+ m shark
2016.06.04,04-Jun-2016,2016.0,EGYPT,Swimming,M,23,N,Morning,Mako shark
2016.06.02.b,02-Jun-2016,2016.0,AUSTRALIA,Fishing,M,,,,Bronze whaler sharks x 3
2016.06.02.a,02-Jun-2016,2016.0,NEW CALEDONIA,Surfing,M,,N,Afternoon,3 m shark
2016.05.31,31-May-2016,2016.0,AUSTRALIA,Surfing,M,29,Y,16h00,White shark
2016.05.29.b,29-May-2016,2016.0,USA,Swimming,F,52,N,16h00,
2016.05.29.a,29-May-2016,2016.0,USA,Swimming,M,13,N,15h45,5' shark
2016.05.22,22-May-2016,2016.0,USA,Swimming,F,57,N,12h00,
2016.05.21.b,21-May-2016,2016.0,USA,Swimming,F,22,N,18h00,"Bull shark, 4' to 5'"
2016.05.21.a,21-May-2016,2016.0,USA,Swimming,F,11,N,17h46,
2016.05.18,18-May-2016,2016.0,USA,Swimming,M,48,N,Morning ,"Blacktip shark, 4'"
2016.05.15,15-May-2016,2016.0,USA,Teasing a shark,F,23,N,13h20,"Nurse shark, 2'"
2016.05.03,03-May-2016,2016.0,USA,Floating,M,59,N,15h49,
2016.05.02,02-May-2016,2016.0,NEW ZEALAND,Fishing,M,39,N,Afternoon,"Mako shark, 1.5 m [5'] "
2016.04.25,25-Apr-2016,2016.0,INDONESIA,Surfing,M,24,N,07h00,"Bull shark, 6'"
2016.04.23,23-Apr-2016,2016.0,USA,Surfing,M,15,N,17h30,
2016.04.22,22-Apr-2016,2016.0,SOUTH AFRICA,Surfing,M,,N,08h00,White shark
2016.04.19,19-Apr-2016,2016.0,AUSTRALIA,Swimming,M,12,N,12h00,Wobbegong shark
